30.0 0.0010 0.2648535
30.0 0.0012 0.2527262
30.0 0.0014 0.2406194
30.0 0.0016 0.2288773
30.0 0.0019 0.2176984
30.0 0.0023 0.2068779
30.0 0.0027 0.1963118
30.0 0.0032 0.1860766
30.0 0.0038 0.1761992
30.0 0.0045 0.1667038
30.0 0.0053 0.1574892
30.0 0.0062 0.1486271
30.0 0.0073 0.1400564
30.0 0.0087 0.1318464
30.0 0.0102 0.1239170
30.0 0.0121 0.1163201
30.0 0.0143 0.1090102
30.0 0.0168 0.1020137
30.0 0.0199 0.0953106
30.0 0.0235 0.0888936
30.0 0.0277 0.0827737
30.0 0.0327 0.0769190
30.0 0.0386 0.0713612
30.0 0.0456 0.0660505
30.0 0.0538 0.0610295
30.0 0.0636 0.0562442
30.0 0.0750 0.0517350
30.0 0.0886 0.0474551
30.0 0.1046 0.0434320
30.0 0.1235 0.0396355
30.0 0.1458 0.0360738
30.0 0.1722 0.0327359
30.0 0.2033 0.0296108
30.0 0.2400 0.0267041
30.0 0.2833 0.0239904
30.0 0.3345 0.0214858
30.0 0.3950 0.0191571
30.0 0.4663 0.0170239
30.0 0.5506 0.0150527
30.0 0.6500 0.0132594
30.0 0.7675 0.0116164
30.0 0.9061 0.0101309
30.0 1.0698 0.0087851
30.0 1.2631 0.0075756
30.0 1.4913 0.0064941
30.0 1.7607 0.0055284
30.0 2.0788 0.0046775
30.0 2.4544 0.0039239
30.0 2.8979 0.0032701
30.0 3.4214 0.0026972
30.0 4.0395 0.0022080
30.0 4.7693 0.0017857
30.0 5.6310 0.0014308
30.0 6.6483 0.0011306
30.0 7.8494 0.0008824
30.0 9.2675 0.0006781
30.0 10.9418 0.0005125
30.0 12.9186 0.0003808
30.0 15.2525 0.0002764
30.0 18.0081 0.0001970
30.0 21.2616 0.0001360
30.0 25.1028 0.0000920
30.0 29.6379 0.0000595
30.0 34.9925 0.0000375
30.0 41.3144 0.0000222
30.0 48.7784 0.0000126
30.0 57.5910 0.0000066
30.0 67.9956 0.0000032
30.0 80.2800 0.0000015
30.0 94.7838 0.0000019
30.0 111.9079 0.0000009
30.0 132.1257 -0.0000005
30.0 155.9962 -0.0000004
30.0 184.1792 -0.0000003
30.0 217.4538 -0.0000002
30.0 256.7401 -0.0000001
30.0 303.1240 -0.0000001
30.0 357.8878 -0.0000000
30.0 422.5454 -0.0000000
30.0 498.8845 -0.0000000
29.575 0.0010 0.2722243
29.575 0.0012 0.2597594
29.575 0.0014 0.2473156
29.575 0.0016 0.2352469
29.575 0.0019 0.2237568
29.575 0.0023 0.2126352
29.575 0.0027 0.2017750
29.575 0.0032 0.1912551
29.575 0.0038 0.1811027
29.575 0.0045 0.1713430
29.575 0.0053 0.1618720
29.575 0.0062 0.1527633
29.575 0.0073 0.1439540
29.575 0.0087 0.1355156
29.575 0.0102 0.1273655
29.575 0.0121 0.1195572
29.575 0.0143 0.1120439
29.575 0.0168 0.1048527
29.575 0.0199 0.0979630
29.575 0.0235 0.0913675
29.575 0.0277 0.0850773
29.575 0.0327 0.0790596
29.575 0.0386 0.0733471
29.575 0.0456 0.0678887
29.575 0.0538 0.0627280
29.575 0.0636 0.0578094
29.575 0.0750 0.0531747
29.575 0.0886 0.0487757
29.575 0.1046 0.0446407
29.575 0.1235 0.0407386
29.575 0.1458 0.0370777
29.575 0.1722 0.0336469
29.575 0.2033 0.0304349
29.575 0.2400 0.0274473
29.575 0.2833 0.0246580
29.575 0.3345 0.0220837
29.575 0.3950 0.0196902
29.575 0.4663 0.0174977
29.575 0.5506 0.0154716
29.575 0.6500 0.0136284
29.575 0.7675 0.0119396
29.575 0.9061 0.0104129
29.575 1.0698 0.0090296
29.575 1.2631 0.0077864
29.575 1.4913 0.0066748
29.575 1.7607 0.0056823
29.575 2.0788 0.0048077
29.575 2.4544 0.0040331
29.575 2.8979 0.0033611
29.575 3.4214 0.0027723
29.575 4.0395 0.0022695
29.575 4.7693 0.0018354
29.575 5.6310 0.0014706
29.575 6.6483 0.0011620
29.575 7.8494 0.0009070
29.575 9.2675 0.0006970
29.575 10.9418 0.0005267
29.575 12.9186 0.0003914
29.575 15.2525 0.0002841
29.575 18.0081 0.0002025
29.575 21.2616 0.0001398
29.575 25.1028 0.0000945
29.575 29.6379 0.0000612
29.575 34.9925 0.0000385
29.575 41.3144 0.0000229
29.575 48.7784 0.0000130
29.575 57.5910 0.0000068
29.575 67.9956 0.0000032
29.575 80.2800 0.0000015
29.575 94.7838 0.0000020
29.575 111.9079 0.0000009
29.575 132.1257 -0.0000006
29.575 155.9962 -0.0000004
29.575 184.1792 -0.0000003
29.575 217.4538 -0.0000002
29.575 256.7401 -0.0000001
29.575 303.1240 -0.0000001
29.575 357.8878 -0.0000000
29.575 422.5454 -0.0000000
29.575 498.8845 -0.0000000
29.156 0.0010 0.2797973
29.156 0.0012 0.2669857
29.156 0.0014 0.2541958
29.156 0.0016 0.2417912
29.156 0.0019 0.2299815
29.156 0.0023 0.2185506
29.156 0.0027 0.2073883
29.156 0.0032 0.1965756
29.156 0.0038 0.1861408
29.156 0.0045 0.1761097
29.156 0.0053 0.1663751
29.156 0.0062 0.1570130
29.156 0.0073 0.1479587
29.156 0.0087 0.1392855
29.156 0.0102 0.1309087
29.156 0.0121 0.1228832
29.156 0.0143 0.1151609
29.156 0.0168 0.1077696
29.156 0.0199 0.1006883
29.156 0.0235 0.0939092
29.156 0.0277 0.0874441
29.156 0.0327 0.0812590
29.156 0.0386 0.0753876
29.156 0.0456 0.0697773
29.156 0.0538 0.0644730
29.156 0.0636 0.0594176
29.156 0.0750 0.0546540
29.156 0.0886 0.0501326
29.156 0.1046 0.0458825
29.156 0.1235 0.0418719
29.156 0.1458 0.0381092
29.156 0.1722 0.0345830
29.156 0.2033 0.0312816
29.156 0.2400 0.0282109
29.156 0.2833 0.0253440
29.156 0.3345 0.0226981
29.156 0.3950 0.0202380
29.156 0.4663 0.0179845
29.156 0.5506 0.0159020
